,importance,stddev,p_value,n,p99_high,p99_low
numinstpaidearly3d_3546850L,0.0008399999999999741,0.0004335896677736102,0.0061652912463104345,5,0.001732767118791911,-5.2767118791962817e-05
datefirstoffer_1144D,0.0007999999999999785,0.00024494897427833616,0.0009347538003878228,5,0.001304353323593683,0.000295646676406274
days360_512L,0.0007999999999999785,0.00034641016151383346,0.00333983039374824,5,0.0015132633104542078,8.673668954574919e-05
credamount_770A,0.0007199999999999874,0.0004604345773289017,0.012486151633776588,5,0.00166804115860235,-0.00022804115860237538
lastrejectdate_50D,0.0007199999999999874,0.0004381780460041759,0.010655820564382345,5,0.0016222146529867858,-0.0001822146529868111
numinstpaidearly_338L,0.0006799999999999695,0.00036331804249170786,0.006930519648384765,5,0.0014280768710793917,-6.807687107945285e-05
responsedate_4527233D,0.0006399999999999961,0.0005549774770204872,0.030707986762589182,5,0.0017827062957890736,-0.0005027062957890812
maxannuity_159A,0.0006399999999999739,0.00021908902300208285,0.0014189229633678334,5,0.0010911073264933627,0.00018889267350658516
max_maxdpdtolerance_577P,0.0006000000000000005,0.00042426406871193413,0.017054711583705442,5,0.0014735655814304698,-0.0002735655814304688
maxdpdlast3m_392P,0.0006000000000000005,0.0002828427124746271,0.0045072406669549045,5,0.001182377054286989,1.762294571301204e-05
avgdbddpdlast3m_4187120P,0.0006000000000000005,0.0003162277660168558,0.006617799781842588,5,0.0012511173409609144,-5.111734096091341e-05
datelastunpaid_3546854D,0.0005999999999999784,0.00019999999999997797,0.0012851303826996111,5,0.001011802764293697,0.00018819723570625982
avgoutstandbalancel6m_4187114A,0.0005999999999999784,0.0002449489742783135,0.002704239432381466,5,0.0011043533235936362,9.56466764063205e-05
numinstregularpaid_973L,0.0005600000000000049,0.00038470768123347976,0.015614906963544443,5,0.0013521184328849608,-0.00023211843288495077
amtinstpaidbefduel24m_4187115A,0.0005600000000000049,0.0004098780306384282,0.01892048474291215,5,0.001403944530200949,-0.000283944530200939
lastdelinqdate_224D,0.0005599999999999827,0.00016733200530684312,0.0008525787423644206,5,0.0009045389117008666,0.0002154610882990989
days30_165L,0.0005599999999999827,0.00026076809620810705,0.004317896303776298,5,0.001096925114290586,2.3074885709379418e-05
cntpmts24_3658933L,0.0005599999999999827,0.0002607680962081283,0.00431789630377753,5,0.0010969251142906298,2.3074885709335616e-05
currdebt_22A,0.0005599999999999827,0.0003286335345031209,0.009467489354683951,5,0.001236660989740059,-0.00011666098974009347
lastapplicationdate_877D,0.0005599999999999827,0.00029664793948382004,0.00673253771219447,5,0.0011708022075074141,-5.080220750744869e-05
maxdbddpdlast1m_3658939P,0.0005200000000000094,0.00041472882706655153,0.024315116928651372,5,0.0013739323870915908,-0.000333932387091572
maxdebt4_972A,0.0005200000000000094,0.0004147288270665917,0.0243151169286581,5,0.0013739323870916734,-0.00033393238709165474
